system,epoch,sharpe,cagr,mdd,trades,exposure,days
final,2019_mixed,,0.0,0.0,0,0.0,365
final,2020_2021_bull,1.9967486295888732,1.1759499866163012,-0.23221426704758574,72,0.372405929304447,731
final,2022_bear,0.744580774658544,0.054249232261059044,-0.0417994375014622,2,0.034703196347031964,365
final,2023_2024_recovery,1.8390354409686034,0.7225312843942766,-0.18376837998543027,76,0.3643410852713178,731
final,2025_2026_chop,0.43633152011646076,0.06319111623567819,-0.1522081941084812,22,0.21314102564102563,416
fast_old_like,2019_mixed,,0.0,0.0,0,0.0,365
fast_old_like,2020_2021_bull,1.7474017336630876,1.062241325629182,-0.3694777534577489,40,0.480957810718358,731
fast_old_like,2022_bear,0.7683776682488642,0.06168328933903111,-0.06227128632932488,10,0.054337899543379,365
fast_old_like,2023_2024_recovery,1.5784862837956661,0.609975514177814,-0.2664491687216902,38,0.4213406292749658,731
fast_old_like,2025_2026_chop,-0.43980586295280155,-0.06891827008409501,-0.1873029784881476,14,0.16826923076923078,416
macro_only,2019_mixed,,0.0,0.0,0,0.0,365
macro_only,2020_2021_bull,1.7748132643519379,1.3231496174907846,-0.2962145284143556,24,0.672976054732041,731
macro_only,2022_bear,0.5163828677026987,0.03762186148911906,-0.06112838219517247,6,0.0410958904109589,365
macro_only,2023_2024_recovery,1.7539667133010217,0.8807248473167899,-0.2899635446489902,35,0.6429548563611491,731
macro_only,2025_2026_chop,0.11107675969218156,0.00810978430915732,-0.20934943661479732,17,0.4254807692307692,416
