candidate,scenario,score,cagr_pct,max_drawdown_mid_pct,sharpe,sortino,profit_factor,win_rate_pct,avg_trade_pnl,fees_total,trades,turnover_per_year,fee_drag_pct_per_year
v10_baseline,smart,121.37,48.56,34.07,1.3856,1.3857,1.8656,52.0,1614.56,5408.59,100,26.25,0.92
v10_baseline,base,112.74,45.55,34.78,1.3219,1.3252,1.8309,52.0,1427.29,13978.83,100,26.08,2.61
v10_baseline,harsh,88.94,37.26,36.28,1.151,1.1421,1.6693,50.49,912.87,16268.15,103,26.26,3.94
v11_cycle_early_only,smart,117.38,47.58,35.54,1.3625,1.3495,1.7712,47.52,1522.1,5544.66,101,26.65,0.93
v11_cycle_early_only,base,106.39,43.74,36.17,1.2818,1.2717,1.6967,47.06,1280.43,14531.27,102,27.01,2.7
v11_cycle_early_only,harsh,100.9,41.82,36.84,1.241,1.235,1.7054,47.06,1188.28,20255.97,102,26.86,4.03
v11_cycle_mild_late,smart,112.4,45.73,35.54,1.3352,1.3158,1.7433,47.52,1383.34,5226.79,101,26.17,0.92
v11_cycle_mild_late,base,101.56,41.95,36.17,1.2538,1.2377,1.6713,47.06,1164.47,13712.95,102,26.5,2.65
v11_cycle_mild_late,harsh,96.15,40.06,36.84,1.2128,1.2008,1.6797,47.06,1081.69,19135.73,102,26.35,3.95
v11_cycle_wide_late,smart,110.09,44.89,35.54,1.3124,1.2932,1.7371,46.53,1323.66,5036.66,101,26.14,0.92
v11_cycle_wide_late,base,99.3,41.13,36.17,1.2312,1.2153,1.665,46.08,1113.52,13215.64,102,26.47,2.65
v11_cycle_wide_late,harsh,93.91,39.25,36.84,1.1902,1.1784,1.6727,46.08,1033.92,18442.28,102,26.32,3.95
v11_mr_ultra,smart,75.18,31.53,34.75,1.0997,1.0638,1.6806,53.33,590.86,2596.79,105,25.31,0.89
v11_mr_ultra,base,67.09,28.87,35.88,1.0282,0.9972,1.6444,53.33,519.12,6756.19,105,25.14,2.51
v11_mr_ultra,harsh,46.18,21.55,36.28,0.8327,0.7977,1.4832,51.85,317.21,8026.27,108,25.26,3.79
v11_cycle_mild_mr_ultra,smart,74.94,31.74,35.54,1.1028,1.054,1.6185,48.57,599.61,2810.38,105,25.7,0.9
v11_cycle_mild_mr_ultra,base,65.01,28.34,36.17,1.0127,0.9696,1.5514,48.11,500.73,7405.0,106,25.98,2.6
v11_cycle_mild_mr_ultra,harsh,60.08,26.67,36.84,0.9676,0.9297,1.5534,48.11,464.36,10380.53,106,25.83,3.87
