pair_id,entry_ts,reference,candidate,channel,meets_gate_rule,candidate_in_position,pnl_usd,return_pct,bars_held,entry_context,entry_vdo,entry_er30,entry_price_to_slow_atr,failure_mode,is_winner
x0_stretch18,2019-04-12T16:00:00Z,X0,X0_CHOP_STRETCH18,direct_gate_avoided,True,False,396.49,3.1163,80,chop,7.3e-05,0.05851,3.165448,winner,True
x0_stretch18,2019-05-31T20:00:00Z,X0,X0_CHOP_STRETCH18,direct_gate_avoided,True,False,-909.88,-4.376,19,chop,0.003306,0.018014,2.861619,trail_stop_noise,False
x0_stretch18,2019-06-29T08:00:00Z,X0,X0_CHOP_STRETCH18,direct_gate_avoided,True,False,-3704.74,-12.9585,14,chop,0.001574,0.118129,2.474828,false_breakout,False
x0_stretch18,2019-07-03T04:00:00Z,X0,X0_CHOP_STRETCH18,sequence_removed,False,True,525.39,2.1113,49,chop,0.010553,0.009688,1.485092,winner,True
x0_stretch18,2019-08-11T12:00:00Z,X0,X0_CHOP_STRETCH18,direct_gate_avoided,True,False,-1218.22,-4.9829,13,chop,0.004689,0.095672,2.081622,false_breakout,False
x0_stretch18,2019-11-01T08:00:00Z,X0,X0_CHOP_STRETCH18,direct_gate_avoided,True,False,-274.14,-1.2987,43,chop,0.001446,0.018215,2.108363,trail_stop_noise,False
x0_stretch18,2020-01-10T20:00:00Z,X0,X0_CHOP_STRETCH18,direct_gate_avoided,True,False,1413.85,6.5758,53,chop,0.0001,0.234078,3.152531,winner,True
x0_stretch18,2020-01-21T12:00:00Z,X0,X0_CHOP_STRETCH18,direct_gate_avoided,True,False,-999.7,-4.3627,16,chop,0.002066,0.040767,3.056539,trail_stop_noise,False
x0_stretch18,2020-01-24T08:00:00Z,X0,X0_CHOP_STRETCH18,sequence_removed,False,True,3538.43,16.1462,107,transition,0.003832,0.424834,0.169017,winner,True
x0_stretch18,2020-02-11T16:00:00Z,X0,X0_CHOP_STRETCH18,direct_gate_avoided,True,False,-890.5,-3.4986,30,chop,0.00441,0.21023,5.558384,late_exit_giveback,False
x0_stretch18,2020-04-12T20:00:00Z,X0,X0_CHOP_STRETCH18,direct_gate_avoided,True,False,-1522.88,-6.238,17,chop,0.003969,0.08315,2.110599,other_loss,False
