pair_id,entry_ts,reference,candidate,ref_exit_ts,cand_exit_ts,ref_pnl_usd,cand_pnl_usd,d_pnl_usd,ref_return_pct,cand_return_pct,d_return_pct,ref_bars_held,cand_bars_held,d_bars_held,exit_timing,ref_exit_reason,cand_exit_reason,ref_failure_mode,cand_failure_mode,ref_is_winner,cand_is_winner
x0_stretch18,2019-01-05T04:00:00Z,X0,X0_CHOP_STRETCH18,2019-01-10T08:00:00Z,2019-01-10T08:00:00Z,-148.48,-148.48,0.0,-1.4848,-1.4848,0.0,31,31,0,same_exit,x0_trail_stop,x0_chop_stretch18_trail_stop,late_exit_giveback,late_exit_giveback,False,False
x0_stretch18,2019-02-09T20:00:00Z,X0,X0_CHOP_STRETCH18,2019-02-24T16:00:00Z,2019-02-24T16:00:00Z,285.43,285.43,0.0,2.8973,2.8973,0.0,89,89,0,same_exit,x0_trail_stop,x0_chop_stretch18_trail_stop,winner,winner,True,True
x0_stretch18,2019-02-27T20:00:00Z,X0,X0_CHOP_STRETCH18,2019-03-04T08:00:00Z,2019-03-04T08:00:00Z,-278.67,-278.67,0.0,-2.7491,-2.7491,0.0,27,27,0,same_exit,x0_trail_stop,x0_chop_stretch18_trail_stop,trail_stop_noise,trail_stop_noise,False,False
x0_stretch18,2019-03-06T12:00:00Z,X0,X0_CHOP_STRETCH18,2019-03-25T16:00:00Z,2019-03-25T16:00:00Z,205.73,205.73,0.0,2.0868,2.0868,0.0,115,115,0,same_exit,x0_trail_stop,x0_chop_stretch18_trail_stop,winner,winner,True,True
x0_stretch18,2019-03-26T04:00:00Z,X0,X0_CHOP_STRETCH18,2019-04-11T12:00:00Z,2019-04-11T12:00:00Z,2658.91,2658.91,0.0,26.42,26.42,0.0,98,98,0,same_exit,x0_trail_stop,x0_chop_stretch18_trail_stop,winner,winner,True,True
x0_stretch18,2019-04-27T00:00:00Z,X0,X0_CHOP_STRETCH18,2019-05-17T04:00:00Z,2019-05-17T04:00:00Z,4917.77,4763.52,-154.25,37.4847,37.4847,0.0,121,121,0,same_exit,x0_trail_stop,x0_chop_stretch18_trail_stop,winner,winner,True,True
x0_stretch18,2019-05-17T20:00:00Z,X0,X0_CHOP_STRETCH18,2019-05-31T00:00:00Z,2019-05-31T00:00:00Z,2755.57,2669.14,-86.43,15.2772,15.2772,0.0,79,79,0,same_exit,x0_trail_stop,x0_chop_stretch18_trail_stop,winner,winner,True,True
x0_stretch18,2019-06-08T12:00:00Z,X0,X0_CHOP_STRETCH18,2019-06-08T16:00:00Z,2019-06-08T16:00:00Z,-253.42,-256.7,-3.28,-1.2746,-1.2746,0.0,1,1,0,same_exit,x0_trend_exit,x0_chop_stretch18_trend_exit,false_breakout,false_breakout,False,False
x0_stretch18,2019-06-13T04:00:00Z,X0,X0_CHOP_STRETCH18,2019-06-27T16:00:00Z,2019-06-27T16:00:00Z,8959.74,9075.87,116.13,45.6444,45.6444,0.0,87,87,0,same_exit,x0_trail_stop,x0_chop_stretch18_trail_stop,winner,winner,True,True
x0_stretch18,2019-07-12T04:00:00Z,X0,X0_CHOP_STRETCH18,2019-07-14T16:00:00Z,2019-07-14T16:00:00Z,-1880.88,-2213.5,-332.62,-7.4022,-7.4022,0.0,15,15,0,same_exit,x0_trail_stop,x0_chop_stretch18_trail_stop,trail_stop_noise,trail_stop_noise,False,False
