metric_family,metric_name,ledger_view,candidate_label,status,source_paths,code_paths,scope_support,reconciliation_dependency,blocker_note
trade_structure,win_rate,fill_ledger,E0,READY,results/trade_profile_8x5/summary_8x5.csv,research/trade_profile_8x5.py,full_backtest,RECON_PASS,
trade_structure,win_rate,fill_ledger,E5,READY,results/trade_profile_8x5/summary_8x5.csv,research/trade_profile_8x5.py,full_backtest,RECON_PASS,
trade_structure,win_rate,fill_ledger,SM,READY,results/trade_profile_8x5/summary_8x5.csv,research/trade_profile_8x5.py,full_backtest,RECON_PASS,
trade_structure,win_rate,fill_ledger,LATCH,READY,results/trade_profile_8x5/summary_8x5.csv,research/trade_profile_8x5.py,full_backtest,RECON_PASS,
trade_structure,win_rate,fill_ledger,E0_plus_EMA1D21,READY,results/trade_profile_8x5/summary_8x5.csv,research/trade_profile_8x5.py,full_backtest,RECON_PASS,
trade_structure,win_rate,fill_ledger,E5_plus_EMA1D21,MISSING,results/parity_20260306/eval_e5_ema21d1_vs_e0/results/trades_candidate.csv,research/trade_profile_8x5.py,full_backtest,RECON_PASS,E5_plus_EMA1D21 not in trade_profile_8x5; rerun needed
trade_structure,wins_losses,fill_ledger,E0,READY,results/trade_profile_8x5/summary_8x5.csv,research/trade_profile_8x5.py,full_backtest,RECON_PASS,
trade_structure,wins_losses,fill_ledger,E5,READY,results/trade_profile_8x5/summary_8x5.csv,research/trade_profile_8x5.py,full_backtest,RECON_PASS,
trade_structure,wins_losses,fill_ledger,SM,READY,results/trade_profile_8x5/summary_8x5.csv,research/trade_profile_8x5.py,full_backtest,RECON_PASS,
trade_structure,wins_losses,fill_ledger,LATCH,READY,results/trade_profile_8x5/summary_8x5.csv,research/trade_profile_8x5.py,full_backtest,RECON_PASS,
trade_structure,wins_losses,fill_ledger,E0_plus_EMA1D21,READY,results/trade_profile_8x5/summary_8x5.csv,research/trade_profile_8x5.py,full_backtest,RECON_PASS,
trade_structure,wins_losses,fill_ledger,E5_plus_EMA1D21,MISSING,results/parity_20260306/eval_e5_ema21d1_vs_e0/results/trades_candidate.csv,research/trade_profile_8x5.py,full_backtest,RECON_PASS,E5_plus_EMA1D21 not in trade_profile_8x5; rerun needed
trade_structure,avg_win_avg_loss,fill_ledger,E0,READY,results/trade_profile_8x5/summary_8x5.csv,research/trade_profile_8x5.py,full_backtest,RECON_PASS,
trade_structure,avg_win_avg_loss,fill_ledger,E5,READY,results/trade_profile_8x5/summary_8x5.csv,research/trade_profile_8x5.py,full_backtest,RECON_PASS,
trade_structure,avg_win_avg_loss,fill_ledger,SM,READY,results/trade_profile_8x5/summary_8x5.csv,research/trade_profile_8x5.py,full_backtest,RECON_PASS,
trade_structure,avg_win_avg_loss,fill_ledger,LATCH,READY,results/trade_profile_8x5/summary_8x5.csv,research/trade_profile_8x5.py,full_backtest,RECON_PASS,
trade_structure,avg_win_avg_loss,fill_ledger,E0_plus_EMA1D21,READY,results/trade_profile_8x5/summary_8x5.csv,research/trade_profile_8x5.py,full_backtest,RECON_PASS,
trade_structure,avg_win_avg_loss,fill_ledger,E5_plus_EMA1D21,MISSING,results/parity_20260306/eval_e5_ema21d1_vs_e0/results/trades_candidate.csv,research/trade_profile_8x5.py,full_backtest,RECON_PASS,E5_plus_EMA1D21 not in trade_profile_8x5; rerun needed
trade_structure,profit_factor,fill_ledger,E0,READY,results/trade_profile_8x5/summary_8x5.csv,research/trade_profile_8x5.py,full_backtest,RECON_PASS,
trade_structure,profit_factor,fill_ledger,E5,READY,results/trade_profile_8x5/summary_8x5.csv,research/trade_profile_8x5.py,full_backtest,RECON_PASS,
trade_structure,profit_factor,fill_ledger,SM,READY,results/trade_profile_8x5/summary_8x5.csv,research/trade_profile_8x5.py,full_backtest,RECON_PASS,
trade_structure,profit_factor,fill_ledger,LATCH,READY,results/trade_profile_8x5/summary_8x5.csv,research/trade_profile_8x5.py,full_backtest,RECON_PASS,
trade_structure,profit_factor,fill_ledger,E0_plus_EMA1D21,READY,results/trade_profile_8x5/summary_8x5.csv,research/trade_profile_8x5.py,full_backtest,RECON_PASS,
trade_structure,profit_factor,fill_ledger,E5_plus_EMA1D21,MISSING,results/parity_20260306/eval_e5_ema21d1_vs_e0/results/trades_candidate.csv,research/trade_profile_8x5.py,full_backtest,RECON_PASS,E5_plus_EMA1D21 not in trade_profile_8x5; rerun needed
trade_structure,losing_streaks,fill_ledger,E0,READY,results/trade_profile_8x5/summary_8x5.csv,research/trade_profile_8x5.py,full_backtest,RECON_PASS,
trade_structure,losing_streaks,fill_ledger,E5,READY,results/trade_profile_8x5/summary_8x5.csv,research/trade_profile_8x5.py,full_backtest,RECON_PASS,
trade_structure,losing_streaks,fill_ledger,SM,READY,results/trade_profile_8x5/summary_8x5.csv,research/trade_profile_8x5.py,full_backtest,RECON_PASS,
trade_structure,losing_streaks,fill_ledger,LATCH,READY,results/trade_profile_8x5/summary_8x5.csv,research/trade_profile_8x5.py,full_backtest,RECON_PASS,
trade_structure,losing_streaks,fill_ledger,E0_plus_EMA1D21,READY,results/trade_profile_8x5/summary_8x5.csv,research/trade_profile_8x5.py,full_backtest,RECON_PASS,
trade_structure,losing_streaks,fill_ledger,E5_plus_EMA1D21,MISSING,results/parity_20260306/eval_e5_ema21d1_vs_e0/results/trades_candidate.csv,research/trade_profile_8x5.py,full_backtest,RECON_PASS,E5_plus_EMA1D21 not in trade_profile_8x5; rerun needed
trade_structure,winning_streaks,fill_ledger,E0,READY,results/trade_profile_8x5/summary_8x5.csv,research/trade_profile_8x5.py,full_backtest,RECON_PASS,
trade_structure,winning_streaks,fill_ledger,E5,READY,results/trade_profile_8x5/summary_8x5.csv,research/trade_profile_8x5.py,full_backtest,RECON_PASS,
trade_structure,winning_streaks,fill_ledger,SM,READY,results/trade_profile_8x5/summary_8x5.csv,research/trade_profile_8x5.py,full_backtest,RECON_PASS,
trade_structure,winning_streaks,fill_ledger,LATCH,READY,results/trade_profile_8x5/summary_8x5.csv,research/trade_profile_8x5.py,full_backtest,RECON_PASS,
trade_structure,winning_streaks,fill_ledger,E0_plus_EMA1D21,READY,results/trade_profile_8x5/summary_8x5.csv,research/trade_profile_8x5.py,full_backtest,RECON_PASS,
trade_structure,winning_streaks,fill_ledger,E5_plus_EMA1D21,MISSING,results/parity_20260306/eval_e5_ema21d1_vs_e0/results/trades_candidate.csv,research/trade_profile_8x5.py,full_backtest,RECON_PASS,E5_plus_EMA1D21 not in trade_profile_8x5; rerun needed
trade_structure,holding_time,fill_ledger,E0,READY,results/trade_profile_8x5/summary_8x5.csv,research/trade_profile_8x5.py,full_backtest,RECON_PASS,
trade_structure,holding_time,fill_ledger,E5,READY,results/trade_profile_8x5/summary_8x5.csv,research/trade_profile_8x5.py,full_backtest,RECON_PASS,
trade_structure,holding_time,fill_ledger,SM,READY,results/trade_profile_8x5/summary_8x5.csv,research/trade_profile_8x5.py,full_backtest,RECON_PASS,
trade_structure,holding_time,fill_ledger,LATCH,READY,results/trade_profile_8x5/summary_8x5.csv,research/trade_profile_8x5.py,full_backtest,RECON_PASS,
trade_structure,holding_time,fill_ledger,E0_plus_EMA1D21,READY,results/trade_profile_8x5/summary_8x5.csv,research/trade_profile_8x5.py,full_backtest,RECON_PASS,
trade_structure,holding_time,fill_ledger,E5_plus_EMA1D21,MISSING,results/parity_20260306/eval_e5_ema21d1_vs_e0/results/trades_candidate.csv,research/trade_profile_8x5.py,full_backtest,RECON_PASS,E5_plus_EMA1D21 not in trade_profile_8x5; rerun needed
trade_structure,exit_reason_taxonomy,fill_ledger,E0,READY,results/trade_profile_8x5/summary_8x5.csv,research/trade_profile_8x5.py,full_backtest,RECON_PASS,
trade_structure,exit_reason_taxonomy,fill_ledger,E5,READY,results/trade_profile_8x5/summary_8x5.csv,research/trade_profile_8x5.py,full_backtest,RECON_PASS,
trade_structure,exit_reason_taxonomy,fill_ledger,SM,READY,results/trade_profile_8x5/summary_8x5.csv,research/trade_profile_8x5.py,full_backtest,RECON_PASS,
trade_structure,exit_reason_taxonomy,fill_ledger,LATCH,READY,results/trade_profile_8x5/summary_8x5.csv,research/trade_profile_8x5.py,full_backtest,RECON_PASS,
trade_structure,exit_reason_taxonomy,fill_ledger,E0_plus_EMA1D21,READY,results/trade_profile_8x5/summary_8x5.csv,research/trade_profile_8x5.py,full_backtest,RECON_PASS,
trade_structure,exit_reason_taxonomy,fill_ledger,E5_plus_EMA1D21,MISSING,results/parity_20260306/eval_e5_ema21d1_vs_e0/results/trades_candidate.csv,research/trade_profile_8x5.py,full_backtest,RECON_PASS,E5_plus_EMA1D21 not in trade_profile_8x5; rerun needed
trade_structure,MFE,fill_ledger,E0,READY,results/trade_profile_8x5/E0/mfe_mae_per_trade.csv,research/trade_profile_8x5.py,full_backtest,RECON_PASS,
trade_structure,MAE,fill_ledger,E0,READY,results/trade_profile_8x5/E0/mfe_mae_per_trade.csv,research/trade_profile_8x5.py,full_backtest,RECON_PASS,
trade_structure,giveback_ratio,fill_ledger,E0,MISSING,,,full_backtest,RECON_PASS,giveback not computed by trade_profile_8x5; old postmortem has it for E0 only (NON_CANONICAL)
trade_structure,MFE,fill_ledger,E5,READY,results/trade_profile_8x5/E5/mfe_mae_per_trade.csv,research/trade_profile_8x5.py,full_backtest,RECON_PASS,
trade_structure,MAE,fill_ledger,E5,READY,results/trade_profile_8x5/E5/mfe_mae_per_trade.csv,research/trade_profile_8x5.py,full_backtest,RECON_PASS,
