relative_path,item_type,purpose,input_summary,output_summary,ledger_views_supported,candidate_support,scope_support,canonical_status,notes
validation/suites/trade_level.py,module,Trade-level export + matching + bootstrap from validation framework,backtest trades/fills/equity + regime map,trades_candidate.csv + trades_baseline.csv + matched_trades.csv + trade_level_summary.json + regime_trade_summary.csv + bootstrap_return_diff.json,fill_ledger,all_6,full_backtest,canonical,Primary source of per-trade CSVs; runs inside validate_strategy.py; produces harsh-cost trade logs with 22 columns
research/trade_profile_8x5.py,script,8-technique trade profile (win/loss + streaks + holding + MFE/MAE + exit reason + concentration + jackknife + fat-tails),trades_candidate.csv from parity_20260305 evals + H4 bar data,summary_8x5.csv + per-strategy profile.json + mfe_mae_per_trade.csv + exit_reason_detail.json + REPORT_8x5.txt,fill_ledger;unit_size_episode,E0;E5;SM;LATCH;E0_plus_EMA1D21,full_backtest,canonical,Missing E5_plus_EMA1D21; computes Sharpe/CAGR from per-trade returns (differs from equity-curve Sharpe); MFE/MAE computed post-hoc from H4 bar extrema
research/vtrend_postmortem.py,script,E0-only postmortem with MFE_R/MAE_R/giveback/exit taxonomy,research sim output + bar data,vtrend_postmortem_trades.csv + vtrend_postmortem_report.txt,fill_ledger,E0_only,full_backtest,NON_CANONICAL,189 trades at SP=120 vs 192 in validation; 3 trades missing; uses research sim not validation framework; rich fields (MFE_R MAE_R giveback_R giveback_ratio proximate_cause) but trade count mismatch
research/exit_family_study.py,script,Exit variant comparison with giveback analysis,research sim trades,exit_family_fold_results.csv + exit_family_trade_log.csv + exit_family_matched_trades.csv,fill_ledger,E0_only,per_fold,NON_CANONICAL,Fold-level only; uses research sim; contains giveback metrics but per-fold scope
validation/suites/dd_episodes.py,module,Drawdown episode detection and export,equity curve from backtest,dd_episodes_baseline.csv + dd_episodes_candidate.csv + dd_episodes_summary.json,native_episode,all_6,full_backtest,canonical,Drawdown episodes (peak-to-recovery); not trade episodes; available for all 7 evals
validation/suites/backtest.py,module,Full backtest metrics (Sharpe/CAGR/MDD/trades/wins/losses/PF/etc),strategy config + bar data,full_backtest_detail.json + full_backtest_summary.csv,none,all_6,full_backtest,canonical,Computes aggregate metrics; does not produce per-trade data; canonical source for terminal wealth
validation/suites/wfo.py,module,Walk-forward optimization with per-round metrics,strategy config + bar data + window spec,wfo_per_round_metrics.csv + wfo_summary.json,none,all_6,per_fold,canonical,Per-fold metrics only; no trade-level export per fold
validation/suites/holdout.py,module,Holdout period evaluation,strategy config + bar data + holdout lock,final_holdout_metrics.csv + holdout_detail.json,none,all_6,holdout_only,canonical,Holdout period only; separate from full backtest
validation/suites/sensitivity.py,module,Parameter sensitivity grid,strategy config + bar data + param grid,sensitivity_grid.csv + sensitivity_detail.json,none,E0;E5;EMA21;EMA21-D1,full_backtest,canonical,SM/LATCH skipped; parameter-level not trade-level
validation/suites/regime.py,module,Regime decomposition of returns,equity curve + regime classification,regime_decomposition.csv + regime_decomposition.json,none,all_6,full_backtest,canonical,Regime-level aggregation not trade-level
validation/suites/cost_sweep.py,module,Cost sweep from 0 to 100 bps,strategy config + bar data,cost_sweep.csv,none,all_6,full_backtest,canonical,Aggregate metrics at different cost levels
validation/suites/churn_metrics.py,module,Churn/turnover metrics,backtest results,churn_metrics.csv,none,all_6,full_backtest,canonical,Turnover per year and fee drag
validate_strategy.py,script,Orchestrator for all validation suites,strategy name + config + baseline + output dir,eval_*_vs_e0/ directory tree with all suite outputs,all,all_6,full_backtest,canonical,Master entry point; --trade-level on enables trade_level suite
research/pullback_strategy.py,script,Pullback entry research with missed-entry analysis,bar data + strategy params,research output,none,E0_only,full_backtest,NON_CANONICAL,Contains some missed-entry sensitivity logic but not canonical
