combination,representative_config,expected_trades,total_dof,se_sharpe,mde_sharpe_0p05_80pct,observed_sharpe,obs_div_mde,verdict
C1,A_20_90+Y_atr3,108,3,0.096,0.269,0.819,3.04,POWERED
C2,A_20_90+Y_atr3+F2_d1ema50,45,4,0.149,0.417,0.828,1.98,POWERED
C3,A_20_90+X_trail8,87,3,0.107,0.300,0.962,3.21,POWERED
C4,A_20_90+X_trail8+F2_d1ema50,39,4,0.160,0.448,1.251,2.79,POWERED
C5,A_20_90+XZ_trail8_rev,114,4,0.094,0.262,1.053,4.02,POWERED
C6,A_20_90+XZ_trail8_rev+F2_d1ema50,49,5,0.143,0.400,1.099,2.75,POWERED
C7,B_60+Y_atr3,150,2,0.082,0.229,0.859,3.75,POWERED
C8,B_60+Y_atr3+F2_d1ema50,110,3,0.095,0.267,0.888,3.33,POWERED
C9,B_60+XZ_trail8_rev,112,3,0.094,0.264,0.876,3.32,POWERED
C10,B_60+XZ_trail8_rev+F2_d1ema50,85,4,0.109,0.304,0.902,2.97,POWERED
C11,D_20_1.5+Y_atr3,236,3,0.065,0.182,0.488,2.68,POWERED
C12,D_20_1.5+Y_atr3+F2_d1ema50,~130,4,0.088,0.246,~0.55,2.24,POWERED
