macro_q,micro_on,micro_off,dev_sharpe,dev_cagr,hold_sharpe,hold_cagr,dev_trades,hold_trades,pos_years
0.4,0.5,0.4,1.4425514395575825,0.6145291066360572,0.6814411040958818,0.16989053305093238,55,39,3
0.4,0.5,0.5,1.4163129170907558,0.5768493739936762,0.6864590155356048,0.16584030217220969,134,81,3
0.4,0.6,0.4,1.398369090420496,0.5773185959517395,0.8189821809923085,0.21180056601007857,42,26,3
0.4,0.6,0.5,1.506552980922522,0.6116543560288186,1.213028532737222,0.3395918911475222,64,33,3
0.4,0.6,0.6,1.5235758680722054,0.5955043828246145,0.9349334081085628,0.22904931124331052,124,69,3
0.4,0.7,0.4,1.6076863487374458,0.6822289542311291,0.3817445327772872,0.06781824754654253,30,20,3
0.4,0.7,0.5,1.656344500572907,0.6753475042268773,0.525833692886006,0.10518009143875795,41,23,3
0.4,0.7,0.6,1.4990437042424858,0.5536483112436859,0.29836239711311274,0.04331239194075409,60,33,3
0.5,0.5,0.4,1.5602234585527361,0.6734912650959131,1.3383688182413795,0.381410892540905,46,28,3
0.5,0.5,0.5,1.5866482483436068,0.6601874674595372,1.412728552476793,0.3913998549862838,110,59,3
0.5,0.6,0.4,1.549596774127558,0.6526142844341196,1.488876832033432,0.4245248130024881,34,17,4
0.5,0.6,0.5,1.6665008933474001,0.686974750196591,1.8920371051314127,0.5508845173799803,53,23,4
0.5,0.6,0.6,1.605055166142644,0.6238517229592782,1.1819820533915875,0.2752903501965729,107,47,4
0.5,0.7,0.4,1.7672868932468797,0.7643297329017726,0.9652781334261432,0.22456593260668356,25,13,4
0.5,0.7,0.5,1.8434274640236352,0.7675448261965219,1.127436834432886,0.2605811352123637,34,16,4
0.5,0.7,0.6,1.6028845027089722,0.5930645043294871,0.5907108604875896,0.10762910956412908,53,23,4
0.6,0.5,0.4,1.2111413630995598,0.4404147772476654,0.7124031611642399,0.1429542074434449,38,20,3
0.6,0.5,0.5,1.2387367216522904,0.43770282749947764,0.7816132349998441,0.1565591210865631,88,42,3
0.6,0.6,0.4,1.119260809722116,0.3895962736389529,0.9636357750605483,0.20365440279637537,32,12,3
0.6,0.6,0.5,1.2502689574621944,0.43071636121198975,1.4031753034934762,0.31036291361987844,47,16,3
0.6,0.6,0.6,1.1503821417718993,0.368610935239885,1.1416193881510537,0.2303142938956697,101,32,3
0.6,0.7,0.4,1.3412889908965926,0.48518213909908736,0.6841803542729215,0.12191125284149318,23,9,3
0.6,0.7,0.5,1.3994680941135438,0.48623212600825383,0.8237028758069551,0.14830244199458376,32,10,3
0.6,0.7,0.6,1.1251802985511696,0.34100524765622375,0.5260229045506453,0.08205583674125694,51,14,3
