combo_name,fold,selected_direction,selected_threshold,sharpe,cagr,mdd,trades,end_equity,bar_count,companion_signal,direction,threshold
vdo_and_vol_surprise_quote_28,1,,,1.9904752418864624,1.2292746738145786,-0.3857042688921028,73.0,,,vol_surprise_quote_28,le,1.11258162993
vdo_and_vol_surprise_quote_28,2,,,1.6442829408836306,0.8143244342650748,-0.3857042688921028,102.0,,,vol_surprise_quote_28,le,1.115313722313
vdo_and_vol_surprise_quote_28,3,,,1.58446928078655,0.732250968739778,-0.3889666010503502,148.0,,,vol_surprise_quote_28,le,1.456063470705
vdo_and_vol_surprise_quote_28,4,,,1.5835275049519686,0.7082406430279822,-0.3886155944906674,180.0,,,vol_surprise_quote_28,ge,0.405993345247
vdo_and_net_quote_norm_28,1,,,1.9686426582952603,1.2121066254536608,-0.3877434806925396,74.0,,,net_quote_norm_28,le,0.146639324858
vdo_and_net_quote_norm_28,2,,,1.592204663396241,0.7757572794674348,-0.3886155944906676,103.0,,,net_quote_norm_28,ge,-0.015472416122
vdo_and_net_quote_norm_28,3,,,1.5856452527815714,0.7312385934587697,-0.3660828802252023,148.0,,,net_quote_norm_28,ge,-0.009554342382
vdo_and_net_quote_norm_28,4,,,1.5734817765796736,0.7028346765284852,-0.3886155944906676,181.0,,,net_quote_norm_28,ge,-0.132155361894
vdo_and_ema28_imbalance_ratio_base,1,,,2.01988746856374,1.2618865202970433,-0.3886155944906672,72.0,,,ema28_imbalance_ratio_base,le,0.07070905346
vdo_and_ema28_imbalance_ratio_base,2,,,1.606829695531381,0.7899215255699188,-0.3886155944906674,103.0,,,ema28_imbalance_ratio_base,le,0.065888902924
vdo_and_ema28_imbalance_ratio_base,3,,,1.7621923415913634,0.6333634432221822,-0.3060397854832321,77.0,,,ema28_imbalance_ratio_base,le,-0.00769351297
vdo_and_ema28_imbalance_ratio_base,4,,,1.7264223781070922,0.6110240401668314,-0.3060397854832321,104.0,,,ema28_imbalance_ratio_base,le,-0.00710092585
