combo_name,fold,selected_direction,selected_threshold,sharpe,cagr,mdd,trades,end_equity,bar_count,companion_signal,direction,threshold
vdo_and_vol_surprise_quote_28,1,le,1.11258162993,0.7862014348903271,0.22428421236887952,-0.2940936085612619,29.0,,,,,
vdo_and_vol_surprise_quote_28,2,le,1.115313722313,1.4178521327713363,0.5116028300237514,-0.28359431741721675,43.0,,,,,
vdo_and_vol_surprise_quote_28,3,le,1.456063470705,1.4764253689406501,0.4811856262050802,-0.1855600408893019,28.0,,,,,
vdo_and_vol_surprise_quote_28,4,ge,0.405993345247,-0.05384756169525521,-0.021668741807251868,-0.12775209903264362,12.0,,,,,
vdo_and_vol_surprise_quote_28,aggregate,,,1.0741040606559134,0.3215190037677873,-0.2940936085612619,,3.6710328630335254,10224.0,,,
vdo_and_vol_surprise_quote_28,1,,,1.9904752418864622,1.2292746738145786,-0.38570426889210285,73.0,,,vol_surprise_quote_28,le,1.11258162993
vdo_and_vol_surprise_quote_28,2,,,1.6442829408836306,0.8143244342650748,-0.38570426889210285,102.0,,,vol_surprise_quote_28,le,1.115313722313
vdo_and_vol_surprise_quote_28,3,,,1.58446928078655,0.732250968739778,-0.3889666010503502,148.0,,,vol_surprise_quote_28,le,1.456063470705
vdo_and_vol_surprise_quote_28,4,,,1.5835275049519686,0.7082406430279822,-0.3886155944906674,180.0,,,vol_surprise_quote_28,ge,0.405993345247
vdo_and_net_quote_norm_28,1,le,0.146639324858,0.606679459597133,0.1565414550920552,-0.3648484810818692,31.0,,,,,
vdo_and_net_quote_norm_28,2,ge,-0.015472416122,1.4956295686062313,0.5620178759366823,-0.30918733110768204,46.0,,,,,
vdo_and_net_quote_norm_28,3,ge,-0.009554342382,1.4891631127574163,0.4882548300306644,-0.1733423198314462,28.0,,,,,
vdo_and_net_quote_norm_28,4,ge,-0.132155361894,-0.0034219929511516223,-0.013631582158634914,-0.12477834959494838,12.0,,,,,
vdo_and_net_quote_norm_28,aggregate,,,1.0459715350399754,0.3141121311464621,-0.37093930671517106,,3.576032432869613,10224.0,,,
vdo_and_net_quote_norm_28,1,,,1.9686426582952603,1.2121066254536608,-0.3877434806925396,74.0,,,net_quote_norm_28,le,0.146639324858
vdo_and_net_quote_norm_28,2,,,1.592204663396241,0.7757572794674348,-0.3886155944906676,103.0,,,net_quote_norm_28,ge,-0.015472416122
vdo_and_net_quote_norm_28,3,,,1.5856452527815714,0.7312385934587697,-0.3660828802252023,148.0,,,net_quote_norm_28,ge,-0.009554342382
vdo_and_net_quote_norm_28,4,,,1.5734817765796736,0.7028346765284852,-0.3886155944906676,181.0,,,net_quote_norm_28,ge,-0.132155361894
vdo_and_ema28_imbalance_ratio_base,1,le,0.07070905346,0.606679459597133,0.1565414550920552,-0.3648484810818692,31.0,,,,,
vdo_and_ema28_imbalance_ratio_base,2,le,0.065888902924,1.5375055975163145,0.5856032823972903,-0.30918733110768204,47.0,,,,,
vdo_and_ema28_imbalance_ratio_base,3,le,-0.00769351297,1.6313331222803533,0.5263120704006718,-0.13775248567710985,26.0,,,,,
vdo_and_ema28_imbalance_ratio_base,4,le,-0.00710092585,0.1136856880576342,0.005846082839061406,-0.10858428723323144,10.0,,,,,
vdo_and_ema28_imbalance_ratio_base,aggregate,,,1.0968537446813624,0.3313116860678067,-0.37093930671517106,,3.7996649261394233,10224.0,,,
vdo_and_ema28_imbalance_ratio_base,1,,,2.01988746856374,1.2618865202970433,-0.3886155944906672,72.0,,,ema28_imbalance_ratio_base,le,0.07070905346
vdo_and_ema28_imbalance_ratio_base,2,,,1.606829695531381,0.7899215255699188,-0.3886155944906674,103.0,,,ema28_imbalance_ratio_base,le,0.065888902924
vdo_and_ema28_imbalance_ratio_base,3,,,1.7621923415913634,0.6333634432221822,-0.3060397854832321,77.0,,,ema28_imbalance_ratio_base,le,-0.00769351297
vdo_and_ema28_imbalance_ratio_base,4,,,1.7264223781070922,0.6110240401668314,-0.3060397854832321,104.0,,,ema28_imbalance_ratio_base,le,-0.00710092585
vdo_only,1,,,0.606679459597133,0.1565414550920552,-0.3648484810818692,31.0,,,,,
vdo_only,2,,,1.5375055975163145,0.5856032823972903,-0.30918733110768204,47.0,,,,,
vdo_only,3,,,1.818573333257709,0.6554226646434065,-0.13236946834247343,28.0,,,,,
vdo_only,4,,,-0.022157305304334646,-0.01664756943298129,-0.12477834959494816,12.0,,,,,
vdo_only,aggregate,,,1.1307597999722017,0.3503025443385246,-0.37093930671517106,,4.059198917344872,10224.0,,,
vdo_and_volsurp_ge1,1,,,0.29621985930984723,0.04470064581472588,-0.40641931791795916,29.0,,,,,
vdo_and_volsurp_ge1,2,,,1.641558797923653,0.618334941483984,-0.2731487152275518,42.0,,,,,
vdo_and_volsurp_ge1,3,,,2.0559712865399122,0.7441602615369838,-0.12157140708537129,25.0,,,,,
vdo_and_volsurp_ge1,4,,,0.17902918277707167,0.015927623459222495,-0.13357624839141924,11.0,,,,,
vdo_and_volsurp_ge1,aggregate,,,1.123162688137755,0.3363629218371702,-0.40641931791795916,,3.86738527745873,10224.0,,,
