signal,model,aggregate_log_loss,aggregate_auc,delta_auc_vs_baseline,delta_log_loss_vs_baseline
vdo,baseline_price,0.6975775253988059,0.47988878591288225,,
vdo,signal_only,0.6893811019917835,0.519740500463392,,
vdo,baseline_plus_signal,0.6933279035259463,0.517701575532901,0.037812789620018716,-0.004249621872859599
osc_12_28_imbalance_ratio_quote,baseline_price,0.6975775253988059,0.47988878591288225,,
osc_12_28_imbalance_ratio_quote,signal_only,0.6893840699591566,0.519925857275255,,
osc_12_28_imbalance_ratio_quote,baseline_plus_signal,0.6933560078709304,0.5173308619091751,0.037442075996292845,-0.0042215175278754735
osc_12_28_net_quote_norm_28,baseline_price,0.6975775253988059,0.47988878591288225,,
osc_12_28_net_quote_norm_28,signal_only,0.6912234883883112,0.4924930491195552,,
osc_12_28_net_quote_norm_28,baseline_plus_signal,0.6950128252684923,0.5110287303058387,0.031139944392956476,-0.002564700130313624
vol_surprise_quote_28,baseline_price,0.6975775253988059,0.47988878591288225,,
vol_surprise_quote_28,signal_only,0.684934000770226,0.5423540315106581,,
vol_surprise_quote_28,baseline_plus_signal,0.691375773482259,0.5173308619091751,0.037442075996292845,-0.006201751916546927
ema28_imbalance_ratio_base,baseline_price,0.6975775253988059,0.47988878591288225,,
ema28_imbalance_ratio_base,signal_only,0.6886829500232972,0.5282669138090825,,
ema28_imbalance_ratio_base,baseline_plus_signal,0.6933353392904332,0.49360518999073216,0.013716404077849909,-0.004242186108372681
