candidate,scenario,score,cagr_pct,max_drawdown_mid_pct,sharpe,sortino,profit_factor,win_rate_pct,avg_trade_pnl,fees_total,trades,turnover_per_year,fee_drag_pct_per_year
baseline,smart,121.37,48.56,34.07,1.3856,1.3857,1.8656,52.0,1614.56,5408.59,100,26.25,0.92
baseline,base,112.74,45.55,34.78,1.3219,1.3252,1.8309,52.0,1427.29,13978.83,100,26.08,2.61
baseline,harsh,88.94,37.26,36.28,1.151,1.1421,1.6693,50.49,912.87,16268.15,103,26.26,3.94
fast_regime_off,smart,106.59,44.21,37.85,1.3304,1.2889,1.6265,51.65,1416.3,4711.79,91,23.28,0.81
fast_regime_off,base,99.21,41.61,38.4,1.2716,1.2347,1.6113,51.65,1274.45,12314.05,91,23.14,2.31
fast_regime_off,harsh,72.36,31.93,38.97,1.0577,1.0149,1.4918,50.0,733.82,13420.65,94,23.41,3.51
cautious_030,smart,117.38,47.06,34.07,1.3594,1.3527,1.8596,52.0,1494.9,5030.52,100,26.16,0.92
cautious_030,base,108.87,44.1,34.78,1.2959,1.2925,1.8246,52.0,1322.15,13014.53,100,25.98,2.6
cautious_030,harsh,85.95,36.19,36.49,1.1299,1.1153,1.6667,50.49,857.42,15310.5,103,26.22,3.93
rsi_ob_70,smart,101.71,43.39,42.71,1.282,1.2692,1.7219,53.61,1270.6,4343.46,97,24.65,0.86
rsi_ob_70,base,93.53,40.5,43.17,1.2183,1.209,1.6877,53.61,1123.1,11292.26,97,24.49,2.45
rsi_ob_70,harsh,69.65,31.57,41.9,1.0238,1.0035,1.5351,52.0,672.22,12731.31,100,24.7,3.71
topping_defense,smart,90.02,39.8,45.77,1.2501,1.189,1.5967,54.55,1149.56,3606.79,88,21.64,0.76
topping_defense,base,82.93,37.31,46.25,1.191,1.1353,1.5762,54.55,1032.94,9481.72,88,21.51,2.15
topping_defense,harsh,56.34,27.38,45.08,0.9586,0.9009,1.4539,52.75,563.48,10058.03,91,21.86,3.28
