candidate,scenario,score,cagr_pct,max_drawdown_mid_pct,sharpe,sortino,profit_factor,win_rate_pct,avg_trade_pnl,fees_total,trades,turnover_per_year,fee_drag_pct_per_year
baseline,smart,121.37,48.56,34.07,1.3856,1.3857,1.8656,52.0,1614.56,5408.59,100,26.25,0.92
baseline,base,112.74,45.55,34.78,1.3219,1.3252,1.8309,52.0,1427.29,13978.83,100,26.08,2.61
baseline,harsh,88.94,37.26,36.28,1.151,1.1421,1.6693,50.49,912.87,16268.15,103,26.26,3.94
combo_wilder_trail30,smart,105.12,42.93,35.15,1.2887,1.2611,1.7151,51.46,1166.7,4226.31,103,26.05,0.91
combo_wilder_trail30,base,96.69,39.98,35.78,1.2224,1.1991,1.6855,51.46,1026.97,10915.77,103,25.89,2.59
combo_wilder_trail30,harsh,84.61,35.69,36.44,1.1301,1.1039,1.6419,50.48,812.71,14042.49,105,26.07,3.91
combo_cd2_trail30,smart,110.45,45.81,38.13,1.3164,1.3031,1.6536,52.83,1324.41,5374.94,106,28.29,0.99
combo_cd2_trail30,base,95.63,40.4,38.38,1.2062,1.1895,1.6025,51.4,1018.95,12650.65,107,28.3,2.83
combo_cd2_trail30,harsh,86.11,37.07,39.02,1.1326,1.1155,1.5569,50.93,866.53,17321.51,108,28.55,4.28
combo_wilder_cd2,smart,117.03,47.71,36.7,1.3339,1.3292,1.8203,49.04,1487.85,5499.75,104,27.07,0.95
combo_wilder_cd2,base,102.65,42.65,37.77,1.2338,1.2258,1.7635,48.57,1169.23,13069.83,105,27.11,2.71
combo_wilder_cd2,harsh,92.91,39.27,38.4,1.162,1.1529,1.6951,47.17,993.77,17936.32,106,27.4,4.11
combo_triple,smart,105.96,43.62,35.89,1.2672,1.2472,1.6603,52.34,1167.56,4716.6,107,27.26,0.95
combo_triple,base,91.89,38.67,36.96,1.1644,1.1425,1.6152,50.93,914.54,11236.87,108,27.36,2.74
combo_triple,harsh,82.41,35.42,37.83,1.092,1.0698,1.5652,50.46,778.0,15449.02,109,27.65,4.15
