heuristic_id,component,code_location,current_value,decision_effect,configurable,documented,test_covered,provenance,provenance_evidence,comments
H01,decision.py,decision.py:23 decision.py:291,harsh_score_tolerance=0.2 (delta >= -0.2),hard REJECT,yes (DecisionPolicy),yes,yes,documented but weak,decision_policy.md; Report 27 L244,No statistical derivation for why 0.2
H02,decision.py,decision.py:24 decision.py:323,holdout_score_tolerance=0.2 (delta >= -0.2),hard REJECT,yes (DecisionPolicy),yes,yes,documented but weak,decision_policy.md; Report 27 L245,Same tolerance as backtest with no independent justification
H03,decision.py,decision.py:261-273,lookahead.status == 'pass',hard REJECT,no (binary),yes,yes,proven,Pytest exit code semantics,Binary pass/fail from pytest; no threshold to tune
H04,decision.py,decision.py:25 decision.py:368-369,wfo_win_rate_threshold=0.60,soft HOLD,yes (DecisionPolicy),yes,yes,unproven,decision.py default only,60% does not map to a standard significance level
H05,decision.py,decision.py:363-366,n_windows <= 5 → require N-1 positive,route only,no,yes,yes,unproven,decision_policy.md L56,No calibration for why 5 is the branching point
H06,decision.py,decision.py:355,power_windows < 3 → low_power,route only,no,yes (wfo_policy_low_trade.md),yes,inferred,wfo_policy_low_trade.md L132-134,n=2 clearly insufficient; no formal power analysis for cutoff=3
H07,decision.py,decision.py:355,low_trade_ratio > 0.5 → low_power,route only,no,yes (wfo_policy_low_trade.md),yes,documented but weak,wfo_policy_low_trade.md L212-218,Majority rule rationale stated; 50% is common-sense not calibrated
H08,decision.py,decision.py:454-468,wfo_low_power AND ci_crosses_zero AND is_small_improvement → soft HOLD,soft HOLD,no,yes,yes,inferred,spec_trade_level_suite.md,Compound condition; relies on H06/H07/H28
H09,decision.py,decision.py:444-451,trade_level_bootstrap CI crosses zero AND mean_diff <= small_threshold,soft HOLD (under low_power),no,yes,yes,documented but weak,spec_trade_level_suite.md,Only fires when wfo_low_power=true
H10,decision.py,decision.py:482-492,trade_level matched CI upper < 0,soft HOLD,no,yes,yes,inferred,Directional CI interpretation,Standard CI interpretation; CI upper < 0 means entire CI negative
H11,decision.py,decision.py:519,"'CAUTION' in statement or 'fallback' in statement",soft HOLD,no,yes,yes,documented but weak,Code inline; no formal trigger spec,String matching on free-text risk_statement
H12,decision.py,decision.py:388-407,bootstrap: passed=True always; severity='info',advisory only,n/a,yes (Reports 21/22B/24),yes,proven,Reports 02/18-21/22B/24/27,Thoroughly proven that bootstrap gate had no statistical power
H13,decision.py,decision.py:280-289,backtest payload contract breach → ERROR(3),runner ERROR elevation,no,yes (Report 30),yes,proven,Report 30 FO1-FO7,Payload contract enforcement
H14,decision.py,decision.py:310-321,holdout payload contract breach → ERROR(3),runner ERROR elevation,no,yes (Report 30),yes,proven,Report 30 FO1-FO7,Payload contract enforcement
H15,decision.py,decision.py:123-136,any suite status='error' → ERROR(3),runner ERROR elevation,no,yes,yes,proven,Suite error semantics,Structural: suite crash = cannot trust results
H16,runner.py,runner.py:263-269,data_integrity hard_fail + status=fail → break suite loop,route only,no,yes,yes,proven,data_integrity contract,Short-circuits remaining suites on hard data failure
H17,runner.py,runner.py:272-297,wfo low_power → auto-enable trade_level,route only,no,yes (wfo_policy_low_trade.md),yes,inferred,wfo_policy_low_trade.md,Same low_power logic as H06/H07
H18,runner.py,runner.py:536-543,data_integrity status=fail → ERROR(3),runner ERROR elevation,no,yes,yes,proven,Quality policy defense-in-depth,Catches status=fail regardless of hard_fail field
H19,runner.py,runner.py:545-560,invariants fail or n_violations>0 → ERROR(3),runner ERROR elevation,no,yes,yes,proven,Quality policy,Invariant violations = logic safety breach
H20,runner.py,runner.py:562-582,regression_guard fail or not guard_pass → ERROR(3),runner ERROR elevation,no,yes,yes,proven,Quality policy,Regression beyond golden tolerance
H21,runner.py,runner.py:482-514,unused config fields → ERROR(3),runner ERROR elevation,no,yes,yes,proven,Config audit contract,Unused fields = potential misconfiguration
H22,runner.py,runner.py:351-370,missing required output files → ERROR(3),runner ERROR elevation,no,yes,yes,proven,Output contract,File-existence verification
H23,backtest.py,backtest.py:192,harsh_delta >= -0.2 → pass/fail,suite status (upstream of H01),no (hardcoded),no,yes,unproven,None; duplicates decision.py threshold,Producer and consumer both enforce -0.2 independently
H24,holdout.py,holdout.py:167,delta >= -0.2 → pass/fail,suite status (upstream of H02),no (hardcoded),no,yes,unproven,None; duplicates decision.py threshold,Producer and consumer both enforce -0.2 independently
H25,wfo.py,wfo.py:524-527,"positive_delta >= max(N-1,0) if N<=5 else int(0.6*N+0.999999)",suite status,no (hardcoded),yes (decision_policy.md),yes,unproven,decision_policy.md,Producer mirrors decision.py WFO logic
