candidate,scenario,score,cagr_pct,max_drawdown_mid_pct,sharpe,sortino,profit_factor,win_rate_pct,avg_trade_pnl,fees_total,trades,turnover_per_year,fee_drag_pct_per_year
v10_baseline,smart,121.37,48.56,34.07,1.3856,1.3857,1.8656,52.0,1614.56,5408.59,100,26.25,0.92
v10_baseline,base,112.74,45.55,34.78,1.3219,1.3252,1.8309,52.0,1427.29,13978.83,100,26.08,2.61
v10_baseline,harsh,88.94,37.26,36.28,1.151,1.1421,1.6693,50.49,912.87,16268.15,103,26.26,3.94
v11_mr_default,smart,69.03,29.74,37.54,1.1184,1.0689,1.6512,54.64,569.45,2169.38,97,24.07,0.84
v11_mr_default,base,61.56,27.27,38.43,1.0454,1.0018,1.6157,53.61,502.71,5683.54,97,23.88,2.39
v11_mr_default,harsh,41.56,20.24,38.46,0.8406,0.7943,1.4615,52.0,306.59,6797.87,100,23.87,3.58
v11_mr_gentle,smart,79.87,32.96,34.07,1.1707,1.1321,1.7098,55.34,657.94,2639.77,103,25.02,0.88
v11_mr_gentle,base,72.13,30.34,34.78,1.0981,1.0648,1.6727,54.37,579.92,6884.1,103,24.84,2.48
v11_mr_gentle,harsh,49.27,23.04,38.46,0.8996,0.8611,1.5099,52.83,358.61,8183.44,106,24.88,3.73
v11_cycle_default,smart,105.45,43.16,35.54,1.2875,1.2657,1.7156,44.66,1183.36,4645.8,103,26.11,0.91
v11_cycle_default,base,94.79,39.45,36.17,1.2053,1.1869,1.6444,43.27,994.66,12188.71,104,26.44,2.64
v11_cycle_default,harsh,89.41,37.58,36.84,1.1637,1.1496,1.6502,42.31,923.1,17007.56,104,26.29,3.94
v11_cycle_aggressive_early,smart,101.76,41.74,34.83,1.2499,1.2295,1.6622,44.12,1106.97,4553.59,102,26.03,0.91
v11_cycle_aggressive_early,base,86.54,36.35,35.48,1.1313,1.1118,1.5809,42.72,843.41,10800.05,103,25.54,2.55
v11_cycle_aggressive_early,harsh,82.5,34.99,36.15,1.0996,1.0856,1.5842,41.75,804.24,15409.5,103,25.52,3.83
v11_adx_d1,smart,89.76,35.66,31.06,1.2433,1.1515,1.8598,53.75,992.76,2337.41,80,17.03,0.6
v11_adx_d1,base,68.12,28.93,34.43,1.0554,0.9658,1.6015,51.85,668.05,5582.67,81,16.89,1.69
v11_adx_d1,harsh,49.77,24.61,45.03,0.9284,0.8282,1.5671,51.85,511.2,6653.25,81,17.11,2.57
v11_adx_h4,smart,90.38,38.64,42.32,1.2411,1.1682,1.8481,54.55,1225.59,2695.22,77,17.33,0.61
v11_adx_h4,base,83.58,36.32,42.87,1.1851,1.1159,1.8034,50.65,1102.44,7161.9,77,17.13,1.71
v11_adx_h4,harsh,76.88,34.07,43.39,1.1339,1.0701,1.7335,50.0,998.61,9638.87,76,16.7,2.51
