param,value,sharpe,mdd,trades,positive_folds_vs_A,fold1,fold2,fold3,fold4
trail_mult,3.0,1.557216886018701,-0.2891992434420936,128,4,1.2356701157201497,1.698362385718702,2.1512459339019765,0.8887553999072805
trail_mult,3.3,1.804351689756462,-0.26018298058238953,124,4,1.6910214277580962,1.8233418285133742,2.376257548102369,0.8956505477176805
trail_mult,3.6,1.6418900447250364,-0.26444738303068127,124,4,1.5697209895674649,1.877044982315394,1.9161415091918248,0.4687881062760721
time_stop_bars,24.0,1.035449935508852,-0.3233364643626748,140,1,0.6401953534257314,1.672302746935562,1.25590563379403,-0.5251700440742092
time_stop_bars,27.0,1.178945944267545,-0.2988494164259733,136,1,1.1912411988032212,1.5332549397999211,1.3369755104302852,-0.6852189855805203
time_stop_bars,30.0,1.804351689756462,-0.26018298058238953,124,4,1.6910214277580962,1.8233418285133742,2.376257548102369,0.8956505477176805
time_stop_bars,33.0,1.6480153761799412,-0.2763491146120408,120,3,1.4074959812145869,1.9212713767389922,2.3766237689427987,-0.18313295700663146
time_stop_bars,36.0,1.220711378486368,-0.2947038103416635,119,0,0.9790966470390547,1.5204807618710743,1.721121875516205,-0.19917975934314847
cooldown_bars,3.0,1.216945601128583,-0.29923377050299826,137,1,1.249355193246633,1.5799553368273362,1.346721840680484,-0.652440742123272
cooldown_bars,6.0,1.804351689756462,-0.26018298058238953,124,4,1.6910214277580962,1.8233418285133742,2.376257548102369,0.8956505477176805
cooldown_bars,9.0,1.6581594376461055,-0.2775703918054916,120,4,1.2741939653532905,2.0396074551058643,2.182916887486177,0.50780174167875
trail_confirm_bars,1.0,1.582603846706,-0.290463324299707,128,3,1.3589800184192544,1.449562398972797,2.356857687132743,1.2418029816310636
trail_confirm_bars,2.0,1.804351689756462,-0.26018298058238953,124,4,1.6910214277580962,1.8233418285133742,2.376257548102369,0.8956505477176805
