candidate,cluster,stage,status,type,spec_summary,reason
S1_D1_RET40_Z0,simple_slow_trend,shortlist,kept,single_native,Native D1 40-day return > 0,Strong simple slower trend representative; broad local plateau around 32-48 days; credible simplest frontier.
S2_D1_VCL5_20_LT1.0,simple_slow_vol_regime,shortlist,kept,single_native,"Native D1 short/long volatility ratio (5,20) < 1.0",Strong slower low-volatility regime representative; materially different failure mode versus pure trend.
S3_H4_RET168_Z0,simple_fast_trend,shortlist,kept,single_native,Native H4 168-bar return > 0,Strong simple native H4 trend state with broad plateau and better pre-reserve risk-adjusted performance than nearby simple rivals.
S4_H4_UPFR48_LT0.4,simple_fast_timing_sparse,shortlist,kept,single_native,Native H4 up-bar fraction over 48 bars < 0.4,Genuinely orthogonal sparse timing representative; very low correlation to trend cluster.
L1_VCL5_20_LT1.0_AND_H4RET168_Z0,layered_vol_gate_fast_trend,shortlist,kept,layered_and_h4,D1 low-volatility gate AND H4 trend state,Best two-layer volatility-gated trend family; broad plateau in nearby cells.
L2_D1RET40_Z0_AND_H4RET168_Z0,layered_slow_trend_fast_trend,shortlist,kept,layered_and_h4,D1 trend gate AND H4 trend state,Best two-layer trend-plus-trend family; strong headline pre-reserve metrics but must beat simpler frontier on paired tests.
XTF_TRANS_RET40_Z0,transported_slow_clone,shortlist,dropped,cross_timeframe_transport,D1 40-day return transported to H4,Perfectly redundant with native D1_RET40 representative (daily return correlation 1.00); transport does not add independent information.
XTF_H4_D1MA40_U_q50,cross_timeframe_relation,shortlist,dropped,cross_timeframe_relationship,"H4 close vs D1 MA40 relation, thresholded by train median",Strong discovery metrics but ~0.91 correlation with H4_RET168 trend cluster; not sufficiently orthogonal after paired comparison.
D1_RANGE40_U_065,slow_trend_location,shortlist,dropped,single_native,D1 range location over 40 bars > 0.65,Serious slower trend/location candidate but dominated by simpler D1_RET40 on explanatory clarity and similar unseen behavior.
D1_DRAWDOWN40_U_q65,slow_drawdown_pullback,shortlist,dropped,single_native,D1 drawdown state over 40 bars in upper train quantile,"Useful evidence that pullback state matters, but not sufficiently distinct from slower trend cluster to keep as separate frontier representative."
D1_FLOW10_L_q20,participation_flow,shortlist,dropped,single_native,D1 flow impulse over 10 bars in lower train quantile,"Meaningfully lower correlation to trend than many features, but weaker and less stable than retained short-list representatives."
H4_CLOSE6_L_035,fast_candle_filter,entry_filter_test,dropped,entry_only_confirmation,H4 close-in-bar over 6 bars < 0.35,Entry-only filter improved selectivity in a few cells but generally reduced trade count too far and did not justify a third layer.
H4_BODY6_U_06,fast_candle_filter,entry_filter_test,dropped,entry_only_confirmation,H4 body fraction over 6 bars > 0.6,No consistent incremental edge once layered on top of already-strong two-layer cores.
H4_FLOW24_Z0,fast_flow_filter,entry_filter_test,dropped,entry_only_confirmation,H4 flow impulse over 24 bars > 0,Third-layer confirmation reduced robustness and added complexity without a clear paired advantage.
