feature_id,bucket,timeframe,family,formula_description,parameter_ladder,admissible_tails,threshold_mode_taxonomy,calibration_mode_taxonomy,notes
D1_MOM_RET,native_d1,1d,directional_persistence,close_t / close_{t-n} - 1,"{'n': [3, 5, 10, 20, 40, 80]}","['high', 'low']","['sign', 'train_quantile']","['fixed_structural', 'expanding_train_distribution']",
D1_UP_FRAC,native_d1,1d,directional_persistence,rolling mean over n of indicator(close_t > close_{t-1}),"{'n': [3, 5, 10, 20, 40]}","['high', 'low']","['structural_level', 'train_quantile']","['fixed_structural', 'expanding_train_distribution']",
D1_TREND_QUAL,native_d1,1d,trend_quality,"n-bar return divided by rolling std(log_return, n)*sqrt(n)","{'n': [5, 10, 20, 40, 80]}","['high', 'low']","['sign', 'train_quantile']","['fixed_structural', 'expanding_train_distribution']",
D1_RANGE_POS,native_d1,1d,location_within_range,(close - rolling_low_n) / (rolling_high_n - rolling_low_n),"{'n': [5, 10, 20, 40, 80]}","['high', 'low']","['structural_level', 'train_quantile']","['fixed_structural', 'expanding_train_distribution']",
D1_DRAWDOWN,native_d1,1d,drawdown_pullback_state,close / rolling_high_n - 1,"{'n': [5, 10, 20, 40, 80]}","['high', 'low']",['train_quantile'],['expanding_train_distribution'],
D1_ATR_PCT,native_d1,1d,volatility_level,ATR_n / close,"{'n': [5, 10, 20, 40]}","['high', 'low']",['train_quantile'],['expanding_train_distribution'],
D1_VOL_RATIO,native_d1,1d,volatility_clustering,ATR_short / ATR_long,"{'short_long': [(5, 20), (10, 40), (20, 80)]}","['high', 'low']",['train_quantile'],['expanding_train_distribution'],
D1_VOL_Z,native_d1,1d,participation_flow,"(log(volume)-rolling_mean(log(volume),n))/rolling_std(log(volume),n)","{'n': [5, 10, 20, 40]}","['high', 'low']","['sign', 'train_quantile']","['fixed_structural', 'expanding_train_distribution']",
D1_BUY_RATIO,native_d1,1d,participation_flow,rolling mean over n of taker_buy_quote_vol / quote_volume,"{'n': [3, 5, 10, 20]}","['high', 'low']","['structural_level', 'train_quantile']","['fixed_structural', 'expanding_train_distribution']",
D1_BODY_FRAC,native_d1,1d,candle_structure,rolling mean over n of abs(close-open)/(high-low),"{'n': [3, 5, 10, 20]}","['high', 'low']",['train_quantile'],['expanding_train_distribution'],
D1_CLV_MEAN,native_d1,1d,candle_structure,rolling mean over n of ((close-low)/(high-low)-0.5),"{'n': [3, 5, 10, 20]}","['high', 'low']","['sign', 'train_quantile']","['fixed_structural', 'expanding_train_distribution']",
D1_DOW,native_d1,1d,calendar_effect,UTC day-of-week of current daily bar open,"{'categories': [0, 1, 2, 3, 4, 5, 6, 'weekday', 'weekend']}",['categorical'],['categorical'],['none'],
H4_MOM_RET,native_h4,4h,directional_persistence,close_t / close_{t-n} - 1,"{'n': [6, 12, 24, 48, 96, 168]}","['high', 'low']","['sign', 'train_quantile']","['fixed_structural', 'expanding_train_distribution']",
H4_UP_FRAC,native_h4,4h,directional_persistence,rolling mean over n of indicator(close_t > close_{t-1}),"{'n': [6, 12, 24, 48, 96]}","['high', 'low']","['structural_level', 'train_quantile']","['fixed_structural', 'expanding_train_distribution']",
H4_TREND_QUAL,native_h4,4h,trend_quality,"n-bar return divided by rolling std(log_return, n)*sqrt(n)","{'n': [12, 24, 48, 96, 168]}","['high', 'low']","['sign', 'train_quantile']","['fixed_structural', 'expanding_train_distribution']",
H4_RANGE_POS,native_h4,4h,location_within_range,(close - rolling_low_n) / (rolling_high_n - rolling_low_n),"{'n': [12, 24, 48, 96, 168]}","['high', 'low']","['structural_level', 'train_quantile']","['fixed_structural', 'expanding_train_distribution']",
H4_DRAWDOWN,native_h4,4h,drawdown_pullback_state,close / rolling_high_n - 1,"{'n': [12, 24, 48, 96, 168]}","['high', 'low']",['train_quantile'],['expanding_train_distribution'],
H4_ATR_PCT,native_h4,4h,volatility_level,ATR_n / close,"{'n': [12, 24, 48, 96]}","['high', 'low']",['train_quantile'],['expanding_train_distribution'],
H4_VOL_RATIO,native_h4,4h,volatility_clustering,ATR_short / ATR_long,"{'short_long': [(12, 48), (24, 96), (48, 168)]}","['high', 'low']",['train_quantile'],['expanding_train_distribution'],
H4_VOL_Z,native_h4,4h,participation_flow,"(log(volume)-rolling_mean(log(volume),n))/rolling_std(log(volume),n)","{'n': [12, 24, 48, 96]}","['high', 'low']","['sign', 'train_quantile']","['fixed_structural', 'expanding_train_distribution']",
