combo,param,value,sharpe,mdd,trades,pos_folds_vs_combo3
combo1,trail_mult,3.0,1.5240015895419907,-0.30732549502563467,127,4
combo1,trail_mult,3.3,1.7958240267954706,-0.28470414495189855,122,4
combo1,trail_mult,3.6,1.5925001072858822,-0.3024467348753854,122,3
combo1,time_stop_bars,27.0,1.1098364562264347,-0.3516073184228906,134,1
combo1,time_stop_bars,30.0,1.7958240267954706,-0.28470414495189855,122,4
combo1,time_stop_bars,33.0,1.6188791467959376,-0.2896982001788252,119,3
combo1,cooldown_bars,3.0,1.1645365335332798,-0.32091436991638966,135,1
combo1,cooldown_bars,6.0,1.7958240267954706,-0.28470414495189855,122,4
combo1,cooldown_bars,9.0,1.6211419220932162,-0.30151525209254393,119,4
combo1,trail_confirm_bars,1.0,1.5496503272432065,-0.30855734034124016,126,3
combo1,trail_confirm_bars,2.0,1.7958240267954706,-0.28470414495189855,122,4
combo2,trail_mult,2.7,1.5699782025276845,-0.22623000664268456,135,4
combo2,trail_mult,3.0,1.6928225915262822,-0.26452284286165517,127,4
combo2,trail_mult,3.3,1.4187762288442494,-0.27256657089180303,125,3
combo2,time_stop_bars,32.0,1.272725473836482,-0.329878838549017,136,2
combo2,time_stop_bars,36.0,1.6928225915262822,-0.26452284286165517,127,4
combo2,time_stop_bars,40.0,1.2664023270270575,-0.26452284286165606,125,2
combo2,cooldown_bars,0.0,1.5790202923278354,-0.2758763858502493,139,4
combo2,cooldown_bars,3.0,1.6928225915262822,-0.26452284286165517,127,4
combo2,cooldown_bars,6.0,1.3324256108468848,-0.2646287509769085,124,2
