candidate,scenario,score,cagr_pct,max_drawdown_mid_pct,sharpe,sortino,profit_factor,win_rate_pct,avg_trade_pnl,fees_total,trades,turnover_per_year,fee_drag_pct_per_year
v10_baseline,smart,121.37,48.56,34.07,1.3856,1.3857,1.8656,52.0,1614.56,5408.59,100,26.25,0.92
v10_baseline,base,112.74,45.55,34.78,1.3219,1.3252,1.8309,52.0,1427.29,13978.83,100,26.08,2.61
v10_baseline,harsh,88.94,37.26,36.28,1.151,1.1421,1.6693,50.49,912.87,16268.15,103,26.26,3.94
v11_cycle_late_only,smart,123.03,49.16,34.07,1.4029,1.4039,1.8699,52.0,1664.5,5540.15,100,26.29,0.92
v11_cycle_late_only,base,114.37,46.14,34.78,1.3391,1.3432,1.8355,52.0,1471.94,14317.44,100,26.11,2.61
v11_cycle_late_only,harsh,90.52,37.83,36.28,1.1677,1.1594,1.6748,50.49,942.4,16643.14,103,26.3,3.95
v11_cycle_late_milder,smart,122.38,48.92,34.07,1.3958,1.3965,1.8705,52.0,1644.5,5473.16,100,26.32,0.92
v11_cycle_late_milder,base,113.72,45.9,34.78,1.3321,1.3359,1.8359,52.0,1453.94,14143.8,100,26.14,2.61
v11_cycle_late_milder,harsh,89.92,37.61,36.28,1.1609,1.1523,1.6748,50.49,930.38,16444.16,103,26.33,3.95
v11_late_mr_ultra,smart,76.22,31.87,34.62,1.1112,1.0753,1.686,52.38,603.78,2632.72,105,25.42,0.89
v11_late_mr_ultra,base,68.14,29.21,35.75,1.0396,1.0086,1.6497,52.38,530.69,6848.65,105,25.24,2.52
v11_late_mr_ultra,harsh,47.1,21.87,36.28,0.8439,0.8086,1.489,50.93,324.87,8125.23,108,25.36,3.8
v11_cycle_late_wide,smart,114.68,46.25,34.73,1.343,1.337,1.8308,52.0,1433.96,5001.3,100,25.74,0.9
v11_cycle_late_wide,base,105.92,43.29,35.86,1.2791,1.2764,1.7964,52.0,1268.1,12946.22,100,25.56,2.56
v11_cycle_late_wide,harsh,83.11,35.14,36.28,1.1068,1.093,1.6344,50.49,809.18,15152.61,103,25.75,3.86
