case,wf_sharpe,hold_sharpe,wf_cagr,hold_cagr,wf_mdd,hold_mdd,wf_trades,hold_trades,wf_pos_years,wf_min
baseline,1.627998919433356,1.3747646041768045,0.6653309787919948,0.40315679641922864,-0.23221426704758574,-0.15220819410848074,116,56,4,0.054249232261059044
macro_feature_lb_48,1.5936844698869257,0.5529396016248955,0.6379480957977588,0.13853613999084846,-0.2551438679940973,-0.2925246552683788,114,80,4,0.0035765057075634044
macro_feature_lb_72,1.0652663514592915,1.639612918391634,0.34900450748254297,0.5127294955002546,-0.3433670327017555,-0.18001581645099063,130,64,3,-0.07185406957626805
macro_q_0.4,1.5788119909685423,1.067334949035646,0.6585146228289216,0.3220800536107731,-0.3106831766566214,-0.26897875842513896,132,74,3,-0.12459700284216324
macro_q_0.6,0.9826005578085967,1.3177815734482072,0.29988268405250507,0.3564772676354788,-0.2943700288342057,-0.14186012384924052,110,58,4,0.010980675465252832
macro_cal_lb_876,1.6520239969724688,0.9978819030775448,0.6801647250139773,0.26905523231652073,-0.23221426704758574,-0.2403517634223079,116,66,4,0.04489539064083514
macro_cal_lb_1314,1.6585112315959252,1.6423530100725852,0.683902072557564,0.4875785036757849,-0.23221426704758574,-0.10712199858881277,114,52,4,0.054249232261059044
micro_feature_lb_67,1.0953509536066932,0.4176163099185922,0.3932829134432019,0.07652774724325417,-0.39656658067632633,-0.2487463381643853,136,84,4,0.04847979648928247
micro_feature_lb_101,1.6016425119434774,0.7864600506105205,0.6551818492984307,0.18923718186545102,-0.2394725245214504,-0.1953108213248127,96,54,4,0.05905792992779957
entry_q_0.48,1.5026881556501415,0.7424161392036275,0.616288006879087,0.20409726997674382,-0.2532692673487448,-0.25872924151566823,281,173,4,0.03789125683456818
entry_q_0.72,1.7877613303818471,0.6973415771297822,0.7328513130031942,0.14755523261946935,-0.2214605049549342,-0.20844111146231525,76,34,4,0.054249232261059044
exit_q_0.4,1.492540829138859,0.9453889291644143,0.627304433299877,0.2659561002526385,-0.29739458329952073,-0.21216570383778288,78,44,4,0.054249232261059044
exit_q_0.6,1.5062197545783074,0.9295804300107238,0.5651896063609838,0.2390856066018494,-0.26253166854010224,-0.1786503960390281,224,112,4,0.054249232261059044
