scope,roundtrip_bps,CAGR,Sharpe,MDD,Trades
full,0,0.3941782539705647,1.440872106633228,-0.34687745648193313,87
holdout,0,0.1791939611292297,1.3697026211750731,-0.08528351870751993,14
full,10,0.37730523968536556,1.392848196015592,-0.34981595869789783,87
holdout,10,0.17152567687044895,1.320947345654601,-0.08528351870752005,14
full,20,0.3606281417039279,1.3446755368244658,-0.3527427034174584,87
holdout,20,0.1639034664119925,1.271679509807137,-0.08612001189206164,14
full,30,0.3441447815391876,1.2963680410022445,-0.35565773182397975,87
holdout,30,0.15632707573788296,1.221925153213199,-0.08703583780412527,14
full,40,0.3278530038553984,1.2479397400696606,-0.3585610849771226,87
holdout,40,0.14879625210670033,1.171711597699075,-0.08795120459899208,14
