segment,bars,top_sharpe,vdo_sharpe,delta_sharpe,top_ret,vdo_ret,top_beats_vdo
2021H2,1104,2.4835566862646843,2.3269489656211912,0.15660772064349304,0.6623723975040128,0.6132774888172807,True
2022H1,1086,0.06906403857340575,0.06906403857341269,-6.938893903907228e-15,-0.002757611460244558,-0.002757611460245446,False
2022H2,1104,-0.5935162785818285,-1.6700396395713577,1.0765233609895293,-0.06308396624171553,-0.2266114768302704,True
2023H1,1086,0.995756181685613,0.8410487453457656,0.1547074363398474,0.13133651229808718,0.12477296003692229,True
2023H2,1104,2.437535174973223,2.369453149906276,0.06808202506694716,0.39053592927499103,0.3779946552701252,True
2024H1,1092,1.4505507241804598,1.5832774168818633,-0.13272669270140347,0.2538213199973123,0.28649606919015147,False
2024H2,1104,2.5633869264307956,2.5822986718433736,-0.018911745412578007,0.498000004692128,0.5084069486245522,False
2025H1,1086,0.9966066886298525,0.846680864441158,0.1499258241886945,0.11586628131125898,0.0968333514266857,True
2025H2,1104,-0.021421982608222603,0.020496136753920147,-0.04191811936214275,-0.008305415021978568,-0.004924436734534132,False
2026YTD,354,1.431490178126144,-0.15386241378729926,1.5853525919134432,0.03476968895989141,-0.00620522278118063,True
