family,variant,candidate_id,segment,cagr,sharpe_daily,max_drawdown,trade_count,exposure,total_return
volcluster_range_family,gate_only,S_D1_VOLCL5_20_LOW_F1,discovery,0.7084469947773184,1.2668027312502885,-0.5161792419317945,126,0.6029757243539546,5.504735525188363
volcluster_range_family,gate_only,S_D1_VOLCL5_20_LOW_F1,holdout,0.2623147927621723,0.8440504478658987,-0.36368875396206213,32,0.6026200873362445,0.339237961486514
volcluster_range_family,gate_only,S_D1_VOLCL5_20_LOW_F1,reserve,0.29234231012133294,0.9791025513557006,-0.21135694099072866,51,0.5932203389830508,0.4518460382303058
volcluster_range_family,gate_only,S_D1_VOLCL5_20_LOW_F1,pre_reserve,0.57726986644108,1.1701266499064278,-0.5161792419317945,157,0.6028818443804035,7.711388744762182
volcluster_range_family,controller_only,S_H4_RANGE48_HI_Q60,discovery,0.46965590989449213,1.116576364353919,-0.3357122645809181,219,0.4096071009006657,2.8426014125597217
volcluster_range_family,controller_only,S_H4_RANGE48_HI_Q60,holdout,0.24513734723096237,0.8412713932881132,-0.21689767074975685,77,0.4086608442503639,0.31642559466420894
volcluster_range_family,controller_only,S_H4_RANGE48_HI_Q60,reserve,-0.20244164956001476,-0.6924766711413641,-0.5137081420771814,123,0.3727699530516432,-0.28113974045421974
volcluster_range_family,controller_only,S_H4_RANGE48_HI_Q60,pre_reserve,0.40672675077072684,1.0510920919043976,-0.3357122645809181,296,0.4093572869632049,4.05849884958646
volcluster_range_family,layered_2L,L2_VOLCL_RANGE48_Q60,discovery,0.5972469865380323,1.5884643808859455,-0.2336924768435109,184,0.24683461689074535,4.140870544160683
volcluster_range_family,layered_2L,L2_VOLCL_RANGE48_Q60,holdout,0.15878103610955874,0.7572276171632139,-0.2029284312628431,64,0.24126637554585154,0.20296671700774294
volcluster_range_family,layered_2L,L2_VOLCL_RANGE48_Q60,reserve,-0.2497082725353975,-1.3070323080409623,-0.4077794577644427,102,0.23380281690140844,-0.34245337185627
volcluster_range_family,layered_2L,L2_VOLCL_RANGE48_Q60,pre_reserve,0.46751120610206076,1.4073077894249568,-0.2336924768435109,248,0.24536458833701605,5.184296161070787
volcluster_range_family,layered_3L_with_entry,L3_VOLCL_RANGE48_Q60_ENTRY_TAKER6_ABS052,discovery,0.09208517241522918,0.6354319665708309,-0.2368929790288533,25,0.037723534786581386,0.3606730050350293
volcluster_range_family,layered_3L_with_entry,L3_VOLCL_RANGE48_Q60_ENTRY_TAKER6_ABS052,holdout,-0.034696564385166884,-0.3543954202441176,-0.10874506551221841,12,0.04694323144104803,-0.043313915446106965
volcluster_range_family,layered_3L_with_entry,L3_VOLCL_RANGE48_Q60_ENTRY_TAKER6_ABS052,reserve,-0.14883146459601204,-1.2429165204463042,-0.2670049091514378,27,0.10015649452269171,-0.20955165434382672
volcluster_range_family,layered_3L_with_entry,L3_VOLCL_RANGE48_Q60_ENTRY_TAKER6_ABS052,pre_reserve,0.05708347633330102,0.45894043805687873,-0.24213483127838298,37,0.04015755596118743,0.30173692954513953
