candidate_a,candidate_b,segment,blocks,p_mean_daily_gt0_mean,p_mean_daily_gt0_min,mean_daily_diff_boot_p50_avg,p_cagr_gt0_mean,cagr_diff_p50_avg,p_sharpe_gt0_mean,sharpe_diff_p50_avg
S_D1_VOLCL5_20_LOW_F1,S_D1_ATR10_HI_Q60,discovery,"5,10,20",0.57,0.551,0.00013635411274759911,0.517,0.021286076866567916,0.43133333333333335,-0.09148019977917433
S_D1_VOLCL5_20_LOW_F1,S_D1_ATR10_HI_Q60,pre_reserve,"5,10,20",0.7088333333333333,0.7055,0.00029533546807221226,0.6416666666666666,0.10881131414865726,0.5388333333333333,0.038516413446022524
S_D1_VOLCL5_20_LOW_F1,S_D1_RET40_HI_Q75,discovery,"5,10,20",0.7999999999999999,0.778,0.0006210752752746047,0.701,0.22560702291182624,0.48150000000000004,-0.028823617155537513
S_D1_VOLCL5_20_LOW_F1,S_D1_RET40_HI_Q75,pre_reserve,"5,10,20",0.7935,0.7865,0.0004717870793781104,0.6881666666666666,0.15247980920258009,0.4426666666666667,-0.0679050499699713
S_D1_VOLCL5_20_LOW_F1,S_H4_RANGE48_HI_Q60,discovery,"5,10,20",0.7803333333333334,0.771,0.0005365087881240475,0.7105,0.21848278660724518,0.6106666666666667,0.14827922253469925
S_D1_VOLCL5_20_LOW_F1,S_H4_RANGE48_HI_Q60,pre_reserve,"5,10,20",0.7901666666666668,0.777,0.00043982190118340396,0.7231666666666667,0.175213251162074,0.6248333333333334,0.1438406539277098
S_D1_VOLCL5_20_LOW_F1,L2_VOLCL_RANGE48_Q60,discovery,"5,10,20",0.7578333333333332,0.7545,0.0003923529466510497,0.6076666666666667,0.08944968043385866,0.19716666666666668,-0.34631631524976264
S_D1_VOLCL5_20_LOW_F1,L2_VOLCL_RANGE48_Q60,pre_reserve,"5,10,20",0.8254999999999999,0.817,0.0004100447999977315,0.6801666666666666,0.11165344158315316,0.271,-0.21695349714423892
S_H4_RANGE48_HI_Q60,S_H4_RET48_HI_Q55,discovery,"5,10,20",0.6158333333333333,0.6105,0.00010365505205300056,0.645,0.06908524222883383,0.6880000000000001,0.14752840394858702
S_H4_RANGE48_HI_Q60,S_H4_RET48_HI_Q55,pre_reserve,"5,10,20",0.7115,0.703,0.0001565230969052382,0.7338333333333334,0.08989326310397412,0.7686666666666667,0.19224156131703488
L2_VOLCL_RANGE48_Q60,L2_VOLCL_RET48_Q55,discovery,"5,10,20",0.8513333333333334,0.8375,0.0002600589002958007,0.8838333333333334,0.16349273350793403,0.955,0.4313872446417812
L2_VOLCL_RANGE48_Q60,L2_VOLCL_RET48_Q55,pre_reserve,"5,10,20",0.9461666666666667,0.9445,0.00033128008885276763,0.9605,0.17914897153770679,0.9861666666666666,0.49801963460774545
L2_VOLCL_RANGE48_Q60,S_H4_RANGE48_HI_Q60,discovery,"5,10,20",0.6468333333333334,0.628,0.00016432830225754076,0.7321666666666666,0.14215657125509096,0.9178333333333334,0.4933142602964565
L2_VOLCL_RANGE48_Q60,S_H4_RANGE48_HI_Q60,pre_reserve,"5,10,20",0.5575000000000001,0.54,4.568262029963795e-05,0.668,0.07030407497809081,0.888,0.3671588408855508
S_D1_TAKER10_LOW_ABS048,L2_TAKER10_RANGE48_ABS060,discovery,"5,10,20",0.989,0.983,0.0004054263816584908,0.9743333333333334,0.1590069391035547,0.8643333333333333,0.4927732999797571
S_D1_TAKER10_LOW_ABS048,L2_TAKER10_RANGE48_ABS060,pre_reserve,"5,10,20",0.9900000000000001,0.987,0.00038673692504261796,0.9809999999999999,0.14445250192047485,0.918,0.5451763230462089
