candidate,scenario,score,cagr_pct,max_drawdown_mid_pct,sharpe,sortino,profit_factor,win_rate_pct,avg_trade_pnl,fees_total,trades,turnover_per_year,fee_drag_pct_per_year
v10_baseline,smart,121.37,48.56,34.07,1.3856,1.3857,1.8656,52.0,1614.56,5408.59,100,26.25,0.92
v10_baseline,base,112.74,45.55,34.78,1.3219,1.3252,1.8309,52.0,1427.29,13978.83,100,26.08,2.61
v10_baseline,harsh,88.94,37.26,36.28,1.151,1.1421,1.6693,50.49,912.87,16268.15,103,26.26,3.94
v11_cycle_neutral,smart,121.37,48.56,34.07,1.3856,1.3857,1.8656,52.0,1614.56,5408.59,100,26.25,0.92
v11_cycle_neutral,base,112.74,45.55,34.78,1.3219,1.3252,1.8309,52.0,1427.29,13978.83,100,26.08,2.61
v11_cycle_neutral,harsh,88.94,37.26,36.28,1.151,1.1421,1.6693,50.49,912.87,16268.15,103,26.26,3.94
v11_cycle_boost_only,smart,126.6,50.73,35.42,1.4319,1.4256,1.9137,51.49,1783.77,5979.91,101,27.15,0.95
v11_cycle_boost_only,base,115.32,46.81,36.05,1.3509,1.3472,1.8227,50.98,1498.68,15661.9,102,27.55,2.75
v11_cycle_boost_only,harsh,109.23,44.67,36.71,1.3066,1.3025,1.8263,50.98,1376.71,21732.99,102,27.36,4.1
v11_cycle_late_only,smart,123.03,49.16,34.07,1.4029,1.4039,1.8699,52.0,1664.5,5540.15,100,26.29,0.92
v11_cycle_late_only,base,114.37,46.14,34.78,1.3391,1.3432,1.8355,52.0,1471.94,14317.44,100,26.11,2.61
v11_cycle_late_only,harsh,90.52,37.83,36.28,1.1677,1.1594,1.6748,50.49,942.4,16643.14,103,26.3,3.95
v11_cycle_early_fast_ref,smart,126.6,50.73,35.42,1.4319,1.4256,1.9137,51.49,1783.77,5979.91,101,27.15,0.95
v11_cycle_early_fast_ref,base,115.32,46.81,36.05,1.3509,1.3472,1.8227,50.98,1498.68,15661.9,102,27.55,2.75
v11_cycle_early_fast_ref,harsh,109.23,44.67,36.71,1.3066,1.3025,1.8263,50.98,1376.71,21732.99,102,27.36,4.1
